 x, y, z, s
   11.1604004     ,   4.88060141     ,   8.25105858     ,   4.15476084    
   11.1606483     ,   4.85868073     ,   8.23780632     ,   4.18037701    
   11.1608706     ,   4.83679819     ,   8.22449684     ,   4.20599079    
   11.1610661     ,   4.81495428     ,   8.21112823     ,   4.23160076    
   11.1612320     ,   4.79315090     ,   8.19770241     ,   4.25720692    
   11.1613674     ,   4.77138758     ,   8.18421936     ,   4.28280926    
   11.1614733     ,   4.74966621     ,   8.17067909     ,   4.30840492    
   11.1615458     ,   4.72798681     ,   8.15708160     ,   4.33399582    
   11.1615849     ,   4.70635128     ,   8.14342690     ,   4.35958004    
   11.1615877     ,   4.68476009     ,   8.12971687     ,   4.38515663    
   11.1615543     ,   4.66321373     ,   8.11594963     ,   4.41072559    
   11.1614847     ,   4.64171314     ,   8.10212708     ,   4.43628597    
   11.1613750     ,   4.62025976     ,   8.08824730     ,   4.46183825    
   11.1612263     ,   4.59885406     ,   8.07431316     ,   4.48738003    
   11.1610355     ,   4.57749653     ,   8.06032276     ,   4.51291275    
   11.1608019     ,   4.55618954     ,   8.04627800     ,   4.53843403    
   11.1605244     ,   4.53493214     ,   8.03217793     ,   4.56394386    
   11.1602011     ,   4.51372623     ,   8.01802254     ,   4.58944225    
   11.1598320     ,   4.49257183     ,   8.00381374     ,   4.61492777    
   11.1594152     ,   4.47147131     ,   7.98955059     ,   4.64040041    
   11.1589489     ,   4.45042419     ,   7.97523355     ,   4.66586018    
   11.1584339     ,   4.42943239     ,   7.96086216     ,   4.69130516    
   11.1578655     ,   4.40849590     ,   7.94643784     ,   4.71673584    
   11.1572456     ,   4.38761616     ,   7.93195963     ,   4.74215174    
   11.1565714     ,   4.36679316     ,   7.91742849     ,   4.76755238    
   11.1558409     ,   4.34602880     ,   7.90284491     ,   4.79293680    
   11.1550550     ,   4.32532406     ,   7.88820887     ,   4.81830502    
   11.1542110     ,   4.30467892     ,   7.87352085     ,   4.84365559    
   11.1533070     ,   4.28409481     ,   7.85877991     ,   4.86898947    
   11.1523438     ,   4.26357269     ,   7.84398746     ,   4.89430571    
   11.1513186     ,   4.24311304     ,   7.82914257     ,   4.91960430    
   11.1502304     ,   4.22271681     ,   7.81424809     ,   4.94488335    
   11.1490774     ,   4.20238590     ,   7.79930115     ,   4.97014380    
   11.1478596     ,   4.18211937     ,   7.78430319     ,   4.99538565    
   11.1465750     ,   4.16191959     ,   7.76925516     ,   5.02060747    
   11.1452227     ,   4.14178658     ,   7.75415659     ,   5.04580927    
   11.1438007     ,   4.12172174     ,   7.73900747     ,   5.07099056    
   11.1423082     ,   4.10172558     ,   7.72380829     ,   5.09615231    
   11.1407442     ,   4.08179951     ,   7.70855999     ,   5.12129164    
   11.1391068     ,   4.06194353     ,   7.69326162     ,   5.14641094    
   11.1373959     ,   4.04215908     ,   7.67791462     ,   5.17150831    
   11.1356087     ,   4.02244711     ,   7.66251850     ,   5.19658422    
   11.1337452     ,   4.00280857     ,   7.64707279     ,   5.22163868    
   11.1318035     ,   3.98324442     ,   7.63157892     ,   5.24667072    
   11.1297817     ,   3.96375465     ,   7.61603689     ,   5.27167988    
   11.1276798     ,   3.94434118     ,   7.60044622     ,   5.29666758    
   11.1254959     ,   3.92500448     ,   7.58480835     ,   5.32163191    
   11.1232281     ,   3.90574527     ,   7.56912327     ,   5.34657383    
   11.1208773     ,   3.88656473     ,   7.55338955     ,   5.37149286    
   11.1184406     ,   3.86746335     ,   7.53760910     ,   5.39638901    
   11.1159163     ,   3.84844255     ,   7.52178192     ,   5.42126179    
   11.1133041     ,   3.82950258     ,   7.50590801     ,   5.44611216    
   11.1106014     ,   3.81064487     ,   7.48998785     ,   5.47093868    
   11.1078091     ,   3.79187012     ,   7.47402096     ,   5.49574280    
   11.1049252     ,   3.77317882     ,   7.45800877     ,   5.52052355    
   11.1019468     ,   3.75457263     ,   7.44195032     ,   5.54528093    
   11.0988750     ,   3.73605204     ,   7.42584705     ,   5.57001495    
   11.0957060     ,   3.71761751     ,   7.40969753     ,   5.59472656    
   11.0924406     ,   3.69927073     ,   7.39350367     ,   5.61941481    
   11.0890779     ,   3.68101168     ,   7.37726450     ,   5.64408112    
   11.0856142     ,   3.66284180     ,   7.36098099     ,   5.66872454    
   11.0820494     ,   3.64476252     ,   7.34465313     ,   5.69334507    
   11.0783825     ,   3.62677312     ,   7.32828045     ,   5.71794415    
   11.0746136     ,   3.60887599     ,   7.31186533     ,   5.74252033    
   11.0707397     ,   3.59107137     ,   7.29540539     ,   5.76707506    
   11.0667591     ,   3.57336044     ,   7.27890253     ,   5.79160786    
   11.0626707     ,   3.55574346     ,   7.26235676     ,   5.81612015    
   11.0584745     ,   3.53822184     ,   7.24576807     ,   5.84061098    
   11.0541697     ,   3.52079654     ,   7.22913599     ,   5.86508131    
   11.0497532     ,   3.50346804     ,   7.21246195     ,   5.88953161    
   11.0452242     ,   3.48623729     ,   7.19574594     ,   5.91396189    
   11.0405807     ,   3.46910548     ,   7.17898703     ,   5.93837309    
   11.0358229     ,   3.45207357     ,   7.16218710     ,   5.96276522    
